id,id_profesional,fecha,hora,disponible
1,1,2026-07-01,08:00,True
2,1,2026-07-01,09:00,False
3,1,2026-07-01,10:00,True
4,2,2026-07-01,11:00,True
5,2,2026-07-01,12:00,False
6,3,2026-07-02,08:00,True
7,3,2026-07-02,09:00,False
8,3,2026-07-02,10:00,False
9,4,2026-07-02,11:00,True
10,4,2026-07-02,12:00,False
11,5,2026-07-03,08:00,True
12,5,2026-07-03,09:00,True
13,6,2026-07-03,10:00,False
14,6,2026-07-03,11:00,True
15,7,2026-07-04,08:00,True
16,7,2026-07-04,09:00,False
17,8,2026-07-04,10:00,True
18,8,2026-07-04,11:00,False
19,9,2026-07-05,08:00,True
20,9,2026-07-05,09:00,True
21,10,2026-07-05,10:00,False
22,10,2026-07-05,11:00,True
23,11,2026-07-06,08:00,True
24,11,2026-07-06,09:00,False
25,12,2026-07-06,10:00,True
26,12,2026-07-06,11:00,False
27,13,2026-07-07,08:00,True
28,13,2026-07-07,09:00,True
29,14,2026-07-07,10:00,False
30,14,2026-07-07,11:00,True
31,15,2026-07-08,08:00,True
32,15,2026-07-08,09:00,False
33,16,2026-07-08,10:00,True
34,16,2026-07-08,11:00,True
35,17,2026-07-09,08:00,False
36,17,2026-07-09,09:00,True
37,18,2026-07-09,10:00,True
38,18,2026-07-09,11:00,False
39,19,2026-07-10,08:00,True
40,19,2026-07-10,09:00,False
41,20,2026-07-10,10:00,True
42,20,2026-07-10,11:00,True
43,21,2026-07-11,08:00,False
44,21,2026-07-11,09:00,True
45,22,2026-07-11,10:00,True
46,22,2026-07-11,11:00,False
47,23,2026-07-12,08:00,True
48,23,2026-07-12,09:00,True
49,24,2026-07-12,10:00,False
50,24,2026-07-12,11:00,False
